# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min pressure = 6000000.0, max pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 9.30000000000e+01, 1.20000000000e+07, 9.68669674846e+02, 3.06932710035e-04, 3.98825312134e+05
 9.30000000000e+01, 1.30000000000e+07, 9.69115559134e+02, 3.07201326804e-04, 3.99594772857e+05
 9.30000000000e+01, 1.40000000000e+07, 9.69560264703e+02, 3.07469739588e-04, 4.00364394076e+05
 9.30000000000e+01, 1.50000000000e+07, 9.70003799617e+02, 3.07737952643e-04, 4.01134172166e+05
 9.30000000000e+01, 1.60000000000e+07, 9.70446171847e+02, 3.08005970168e-04, 4.01904103557e+05
 9.30000000000e+01, 1.70000000000e+07, 9.70887389270e+02, 3.08273796302e-04, 4.02674184733e+05
 9.30000000000e+01, 1.80000000000e+07, 9.71327459670e+02, 3.08541435133e-04, 4.03444412233e+05
 9.30000000000e+01, 1.90000000000e+07, 9.71766390742e+02, 3.08808890691e-04, 4.04214782649e+05
 9.30000000000e+01, 2.00000000000e+07, 9.72204190093e+02, 3.09076166954e-04, 4.04985292623e+05
 9.30000000000e+01, 2.10000000000e+07, 9.72640865241e+02, 3.09343267845e-04, 4.05755938852e+05
 9.30000000000e+01, 2.20000000000e+07, 9.73076423620e+02, 3.09610197237e-04, 4.06526718078e+05
 9.30000000000e+01, 2.30000000000e+07, 9.73510872578e+02, 3.09876958952e-04, 4.07297627097e+05
 9.30000000000e+01, 2.40000000000e+07, 9.73944219382e+02, 3.10143556760e-04, 4.08068662751e+05
 9.30000000000e+01, 2.50000000000e+07, 9.74376471217e+02, 3.10409994384e-04, 4.08839821929e+05
 9.30000000000e+01, 2.60000000000e+07, 9.74807635187e+02, 3.10676275496e-04, 4.09611101569e+05
 9.35000000000e+01, 6.00000000000e+06, 9.65628489695e+02, 3.03633358645e-04, 3.96309783987e+05
 9.35000000000e+01, 7.00000000000e+06, 9.66082160657e+02, 3.03903250759e-04, 3.97077117271e+05
 9.35000000000e+01, 8.00000000000e+06, 9.66534597324e+02, 3.04172908394e-04, 3.97844640328e+05
 9.35000000000e+01, 9.00000000000e+06, 9.66985808435e+02, 3.04442336185e-04, 3.98612349115e+05
 9.35000000000e+01, 1.00000000000e+07, 9.67435802622e+02, 3.04711538703e-04, 3.99380239657e+05
 9.35000000000e+01, 1.10000000000e+07, 9.67884588414e+02, 3.04980520455e-04, 4.00148308036e+05
 9.35000000000e+01, 1.20000000000e+07, 9.68332174236e+02, 3.05249285887e-04, 4.00916550397e+05
 9.35000000000e+01, 1.30000000000e+07, 9.68778568410e+02, 3.05517839384e-04, 4.01684962946e+05
 9.35000000000e+01, 1.40000000000e+07, 9.69223779161e+02, 3.05786185268e-04, 4.02453541946e+05
 9.35000000000e+01, 1.50000000000e+07, 9.69667814614e+02, 3.06054327806e-04, 4.03222283718e+05
 9.35000000000e+01, 1.60000000000e+07, 9.70110682799e+02, 3.06322271204e-04, 4.03991184639e+05
 9.35000000000e+01, 1.70000000000e+07, 9.70552391651e+02, 3.06590019614e-04, 4.04760241142e+05
 9.35000000000e+01, 1.80000000000e+07, 9.70992949014e+02, 3.06857577130e-04, 4.05529449717e+05
 9.35000000000e+01, 1.90000000000e+07, 9.71432362638e+02, 3.07124947791e-04, 4.06298806903e+05
 9.35000000000e+01, 2.00000000000e+07, 9.71870640186e+02, 3.07392135584e-04, 4.07068309295e+05
 9.35000000000e+01, 2.10000000000e+07, 9.72307789232e+02, 3.07659144440e-04, 4.07837953539e+05
 9.35000000000e+01, 2.20000000000e+07, 9.72743817262e+02, 3.07925978242e-04, 4.08607736331e+05
 9.35000000000e+01, 2.30000000000e+07, 9.73178731680e+02, 3.08192640818e-04, 4.09377654417e+05
 9.35000000000e+01, 2.40000000000e+07, 9.73612539804e+02, 3.08459135947e-04, 4.10147704594e+05
 9.35000000000e+01, 2.50000000000e+07, 9.74045248871e+02, 3.08725467360e-04, 4.10917883705e+05
 9.35000000000e+01, 2.60000000000e+07, 9.74476866035e+02, 3.08991638737e-04, 4.11688188641e+05
 9.40000000000e+01, 6.00000000000e+06, 9.65286683841e+02, 3.01966668646e-04, 3.98407682766e+05
 9.40000000000e+01, 7.00000000000e+06, 9.65740900123e+02, 3.02236513287e-04, 3.99173929365e+05
 9.40000000000e+01, 8.00000000000e+06, 9.66193876972e+02, 3.02506119813e-04, 3.99940372049e+05
 9.40000000000e+01, 9.00000000000e+06, 9.66645623195e+02, 3.02775492871e-04, 4.00707006716e+05
 9.40000000000e+01, 1.00000000000e+07, 9.67096147492e+02, 3.03044637043e-04, 4.01473829332e+05
 9.40000000000e+01, 1.10000000000e+07, 9.67545458456e+02, 3.03313556846e-04, 4.02240835924e+05
 9.40000000000e+01, 1.20000000000e+07, 9.67993564576e+02, 3.03582256735e-04, 4.03008022581e+05
 9.40000000000e+01, 1.30000000000e+07, 9.68440474240e+02, 3.03850741105e-04, 4.03775385453e+05
 9.40000000000e+01, 1.40000000000e+07, 9.68886195732e+02, 3.04119014289e-04, 4.04542920749e+05
 9.40000000000e+01, 1.50000000000e+07, 9.69330737241e+02, 3.04387080563e-04, 4.05310624736e+05
 9.40000000000e+01, 1.60000000000e+07, 9.69774106856e+02, 3.04654944143e-04, 4.06078493740e+05
 9.40000000000e+01, 1.70000000000e+07, 9.70216312572e+02, 3.04922609189e-04, 4.06846524142e+05
 9.40000000000e+01, 1.80000000000e+07, 9.70657362289e+02, 3.05190079805e-04, 4.07614712379e+05
 9.40000000000e+01, 1.90000000000e+07, 9.71097263818e+02, 3.05457360038e-04, 4.08383054940e+05
 9.40000000000e+01, 2.00000000000e+07, 9.71536024875e+02, 3.05724453884e-04, 4.09151548371e+05
 9.40000000000e+01, 2.10000000000e+07, 9.71973653092e+02, 3.05991365284e-04, 4.09920189267e+05
 9.40000000000e+01, 2.20000000000e+07, 9.72410156009e+02, 3.06258098126e-04, 4.10688974277e+05
 9.40000000000e+01, 2.30000000000e+07, 9.72845541082e+02, 3.06524656250e-04, 4.11457900101e+05
 9.40000000000e+01, 2.40000000000e+07, 9.73279815684e+02, 3.06791043441e-04, 4.12226963485e+05
 9.40000000000e+01, 2.50000000000e+07, 9.73712987103e+02, 3.07057263437e-04, 4.12996161227e+05
 9.40000000000e+01, 2.60000000000e+07, 9.74145062544e+02, 3.07323319929e-04, 4.13765490173e+05
 9.45000000000e+01, 6.00000000000e+06, 9.64943736843e+02, 3.00316197001e-04, 4.00505827315e+05
 9.45000000000e+01, 7.00000000000e+06, 9.65398504318e+02, 3.00585988195e-04, 4.01270985564e+05
 9.45000000000e+01, 8.00000000000e+06, 9.65852027175e+02, 3.00855537690e-04, 4.02036346231e+05
 9.45000000000e+01, 9.00000000000e+06, 9.66304314290e+02, 3.01124850144e-04, 4.02801905155e+05
 9.45000000000e+01, 1.00000000000e+07, 9.66755374430e+02, 3.01393930150e-04, 4.03567658245e+05
 9.45000000000e+01, 1.10000000000e+07, 9.67205216255e+02, 3.01662782234e-04, 4.04333601471e+05
 9.45000000000e+01, 1.20000000000e+07, 9.67653848318e+02, 3.01931410864e-04, 4.05099730865e+05
 9.45000000000e+01, 1.30000000000e+07, 9.68101279070e+02, 3.02199820442e-04, 4.05866042521e+05
 9.45000000000e+01, 1.40000000000e+07, 9.68547516860e+02, 3.02468015314e-04, 4.06632532594e+05
 9.45000000000e+01, 1.50000000000e+07, 9.68992569938e+02, 3.02735999764e-04, 4.07399197297e+05
 9.45000000000e+01, 1.60000000000e+07, 9.69436446454e+02, 3.03003778017e-04, 4.08166032903e+05
 9.45000000000e+01, 1.70000000000e+07, 9.69879154462e+02, 3.03271354242e-04, 4.08933035739e+05
 9.45000000000e+01, 1.80000000000e+07, 9.70320701923e+02, 3.03538732554e-04, 4.09700202192e+05
 9.45000000000e+01, 1.90000000000e+07, 9.70761096703e+02, 3.03805917008e-04, 4.10467528700e+05
 9.45000000000e+01, 2.00000000000e+07, 9.71200346578e+02, 3.04072911608e-04, 4.11235011758e+05
 9.45000000000e+01, 2.10000000000e+07, 9.71638459233e+02, 3.04339720305e-04, 4.12002647913e+05
 9.45000000000e+01, 2.20000000000e+07, 9.72075442265e+02, 3.04606346995e-04, 4.12770433764e+05
 9.45000000000e+01, 2.30000000000e+07, 9.72511303185e+02, 3.04872795526e-04, 4.13538365961e+05
 9.45000000000e+01, 2.40000000000e+07, 9.72946049417e+02, 3.05139069691e-04, 4.14306441206e+05
 9.45000000000e+01, 2.50000000000e+07, 9.73379688303e+02, 3.05405173238e-04, 4.15074656249e+05
 9.45000000000e+01, 2.60000000000e+07, 9.73812227100e+02, 3.05671109862e-04, 4.15843007888e+05
 9.50000000000e+01, 6.00000000000e+06, 9.64599651122e+02, 2.98681734250e-04, 4.02604220056e+05
 9.50000000000e+01, 7.00000000000e+06, 9.65054975663e+02, 2.98951466215e-04, 4.03368288251e+05
 9.50000000000e+01, 8.00000000000e+06, 9.65509050353e+02, 2.99220952948e-04, 4.04132565218e+05
 9.50000000000e+01, 9.00000000000e+06, 9.65961884138e+02, 2.99490199116e-04, 4.04897046741e+05
 9.50000000000e+01, 1.00000000000e+07, 9.66413485853e+02, 2.99759209324e-04, 4.05661728668e+05
 9.50000000000e+01, 1.10000000000e+07, 9.66863864224e+02, 3.00027988108e-04, 4.06426606911e+05
 9.50000000000e+01, 1.20000000000e+07, 9.67313027870e+02, 3.00296539947e-04, 4.07191677446e+05
 9.50000000000e+01, 1.30000000000e+07, 9.67760985308e+02, 3.00564869254e-04, 4.07956936312e+05
 9.50000000000e+01, 1.40000000000e+07, 9.68207744950e+02, 3.00832980382e-04, 4.08722379607e+05
 9.50000000000e+01, 1.50000000000e+07, 9.68653315106e+02, 3.01100877627e-04, 4.09488003491e+05
 9.50000000000e+01, 1.60000000000e+07, 9.69097703990e+02, 3.01368565224e-04, 4.10253804183e+05
 9.50000000000e+01, 1.70000000000e+07, 9.69540919717e+02, 3.01636047351e-04, 4.11019777957e+05
 9.50000000000e+01, 1.80000000000e+07, 9.69982970305e+02, 3.01903328130e-04, 4.11785921147e+05
 9.50000000000e+01, 1.90000000000e+07, 9.70423863680e+02, 3.02170411629e-04, 4.12552230142e+05
 9.50000000000e+01, 2.00000000000e+07, 9.70863607675e+02, 3.02437301859e-04, 4.13318701384e+05
 9.50000000000e+01, 2.10000000000e+07, 9.71302210032e+02, 3.02704002779e-04, 4.14085331371e+05
 9.50000000000e+01, 2.20000000000e+07, 9.71739678403e+02, 3.02970518295e-04, 4.14852116653e+05
 9.50000000000e+01, 2.30000000000e+07, 9.72176020355e+02, 3.03236852261e-04, 4.15619053831e+05
 9.50000000000e+01, 2.40000000000e+07, 9.72611243364e+02, 3.03503008482e-04, 4.16386139559e+05
 9.50000000000e+01, 2.50000000000e+07, 9.73045354827e+02, 3.03768990711e-04, 4.17153370540e+05
 9.50000000000e+01, 2.60000000000e+07, 9.73478362052e+02, 3.04034802653e-04, 4.17920743526e+05
 9.55000000000e+01, 6.00000000000e+06, 9.64254429060e+02, 2.97063074281e-04, 4.04702863428e+05
 9.55000000000e+01, 7.00000000000e+06, 9.64710316538e+02, 2.97332741425e-04, 4.05465839824e+05
 9.55000000000e+01, 8.00000000000e+06, 9.65164948885e+02, 2.97602159850e-04, 4.06229031373e+05
