# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min pressure = 101325.0, max pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 4.94736842105e+01, 1.02736184211e+06, 7.67663046221e-01, 9.40395789059e-06, 4.28743965293e+06
 4.94736842105e+01, 1.25887105263e+06, 9.39439749325e-01, 9.40523019038e-06, 4.28859008680e+06
 4.94736842105e+01, 1.49038026316e+06, 1.11077367593e+00, 9.40657230730e-06, 4.28974387906e+06
 4.94736842105e+01, 1.72188947368e+06, 1.28166603043e+00, 9.40798368737e-06, 4.29090107951e+06
 4.94736842105e+01, 1.95339868421e+06, 1.45211799843e+00, 9.40946378023e-06, 4.29206173494e+06
 4.94736842105e+01, 2.18490789474e+06, 1.62213074832e+00, 9.41101203908e-06, 4.29322588928e+06
 4.94736842105e+01, 2.41641710526e+06, 1.79170543271e+00, 9.41262792063e-06, 4.29439358369e+06
 4.94736842105e+01, 2.64792631579e+06, 1.96084318983e+00, 9.41431088509e-06, 4.29556485666e+06
 4.94736842105e+01, 2.87943552632e+06, 2.12954514480e+00, 9.41606039609e-06, 4.29673974406e+06
 4.94736842105e+01, 3.11094473684e+06, 2.29781241091e+00, 9.41787592070e-06, 4.29791827931e+06
 4.94736842105e+01, 3.34245394737e+06, 2.46564609073e+00, 9.41975692936e-06, 4.29910049340e+06
 4.94736842105e+01, 3.57396315789e+06, 2.63304727721e+00, 9.42170289585e-06, 4.30028641499e+06
 4.94736842105e+01, 3.80547236842e+06, 2.80001705474e+00, 9.42371329731e-06, 4.30147607052e+06
 4.94736842105e+01, 4.03698157895e+06, 2.96655650009e+00, 9.42578761415e-06, 4.30266948426e+06
