# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min phase pressure = 101325.0, max phase pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 5.36842105263e+01,   3.34245394737e+06, 4.32161073576e-03, 4.37439240299e-04
 5.36842105263e+01,   3.57396315789e+06, 4.05825801789e-03, 4.67448756593e-04
 5.36842105263e+01,   3.80547236842e+06, 3.82693859757e-03, 4.97406036971e-04
 5.36842105263e+01,   4.03698157895e+06, 3.62214127875e-03, 5.27311322679e-04
 5.36842105263e+01,   4.26849078947e+06, 3.43955050188e-03, 5.57164851128e-04
 5.36842105263e+01,   4.50000000000e+06, 3.27573878759e-03, 5.86966856058e-04
 5.47368421053e+01,   1.01325000000e+05, 1.40902980853e-01, 1.15797027542e-05
 5.47368421053e+01,   3.32834210526e+05, 4.30818367732e-02, 4.23297210413e-05
 5.47368421053e+01,   5.64343421053e+05, 2.55184914433e-02, 7.30238845181e-05
 5.47368421053e+01,   7.95852631579e+05, 1.81732703021e-02, 1.03662508019e-04
 5.47368421053e+01,   1.02736184211e+06, 1.41384123733e-02, 1.34245899312e-04
 5.47368421053e+01,   1.25887105263e+06, 1.15875676255e-02, 1.64774359403e-04
 5.47368421053e+01,   1.49038026316e+06, 9.82917521015e-03, 1.95248182823e-04
 5.47368421053e+01,   1.72188947368e+06, 8.54359757559e-03, 2.25667657908e-04
 5.47368421053e+01,   1.95339868421e+06, 7.56272595874e-03, 2.56033067062e-04
 5.47368421053e+01,   2.18490789474e+06, 6.78970169148e-03, 2.86344687020e-04
 5.47368421053e+01,   2.41641710526e+06, 6.16478498035e-03, 3.16602789085e-04
 5.47368421053e+01,   2.64792631579e+06, 5.64912831954e-03, 3.46807639367e-04
 5.47368421053e+01,   2.87943552632e+06, 5.21637769741e-03, 3.76959499016e-04
