# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min pressure = 101325.0, max pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 5.05263157895e+01, 4.26849078947e+06, 9.89606234815e+02, 5.42577332496e-04, 2.15205048673e+05
 5.05263157895e+01, 4.50000000000e+06, 9.89706305354e+02, 5.42625136986e-04, 2.15404093115e+05
 5.15789473684e+01, 1.01325000000e+05, 9.87312764957e+02, 5.32339425649e-04, 2.16020974795e+05
 5.15789473684e+01, 3.32834210526e+05, 9.87413767057e+02, 5.32387889570e-04, 2.16219776775e+05
 5.15789473684e+01, 5.64343421053e+05, 9.87514716323e+02, 5.32436381786e-04, 2.16418561948e+05
 5.15789473684e+01, 7.95852631579e+05, 9.87615612820e+02, 5.32484902349e-04, 2.16617330311e+05
 5.15789473684e+01, 1.02736184211e+06, 9.87716456612e+02, 5.32533451312e-04, 2.16816081858e+05
 5.15789473684e+01, 1.25887105263e+06, 9.87817247763e+02, 5.32582028727e-04, 2.17014816585e+05
 5.15789473684e+01, 1.49038026316e+06, 9.87917986337e+02, 5.32630634648e-04, 2.17213534489e+05
 5.15789473684e+01, 1.72188947368e+06, 9.88018672398e+02, 5.32679269126e-04, 2.17412235564e+05
 5.15789473684e+01, 1.95339868421e+06, 9.88119306010e+02, 5.32727932213e-04, 2.17610919807e+05
 5.15789473684e+01, 2.18490789474e+06, 9.88219887236e+02, 5.32776623960e-04, 2.17809587214e+05
 5.15789473684e+01, 2.41641710526e+06, 9.88320416140e+02, 5.32825344420e-04, 2.18008237780e+05
 5.15789473684e+01, 2.64792631579e+06, 9.88420892784e+02, 5.32874093642e-04, 2.18206871502e+05
 5.15789473684e+01, 2.87943552632e+06, 9.88521317233e+02, 5.32922871679e-04, 2.18405488376e+05
 5.15789473684e+01, 3.11094473684e+06, 9.88621689548e+02, 5.32971678581e-04, 2.18604088398e+05
