# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 6.40000000000e+01, 1.20000000000e+07, 8.09421709025e+00, 9.81002735705e-06, 4.55840191854e+06
 6.40000000000e+01, 1.30000000000e+07, 8.72274877855e+00, 9.82630210680e-06, 4.56438974416e+06
 6.40000000000e+01, 1.40000000000e+07, 9.34458883344e+00, 9.84339392219e-06, 4.57043794705e+06
 6.40000000000e+01, 1.50000000000e+07, 9.95982103061e+00, 9.86127424091e-06, 4.57654529058e+06
 6.40000000000e+01, 1.60000000000e+07, 1.05685296942e+01, 9.87991538334e-06, 4.58271045045e+06
 6.40000000000e+01, 1.70000000000e+07, 1.11707996101e+01, 9.89929053733e-06, 4.58893203641e+06
 6.40000000000e+01, 1.80000000000e+07, 1.17667159240e+01, 9.91937374198e-06, 4.59520861087e+06
 6.40000000000e+01, 1.90000000000e+07, 1.23563640293e+01, 9.94013987053e-06, 4.60153870478e+06
 6.40000000000e+01, 2.00000000000e+07, 1.29398294503e+01, 9.96156461246e-06, 4.60792083112e+06
 7.10000000000e+01, 6.00000000000e+06, 4.09487165850e+00, 9.86763452804e-06, 4.62548674872e+06
 7.10000000000e+01, 7.00000000000e+06, 4.75235218404e+00, 9.87784066567e-06, 4.63121526450e+06
 7.10000000000e+01, 8.00000000000e+06, 5.40290603950e+00, 9.88902913078e-06, 4.63700422670e+06
 7.10000000000e+01, 9.00000000000e+06, 6.04661200891e+00, 9.90116731238e-06, 4.64285365802e+06
 7.10000000000e+01, 1.00000000000e+07, 6.68354885142e+00, 9.91422351032e-06, 4.64876328954e+06
 7.10000000000e+01, 1.10000000000e+07, 7.31379552615e+00, 9.92816692203e-06, 4.65473260783e+06
 7.10000000000e+01, 1.20000000000e+07, 7.93743133387e+00, 9.94296762978e-06, 4.66076089606e+06
 7.10000000000e+01, 1.30000000000e+07, 8.55453599284e+00, 9.95859658821e-06, 4.66684726996e+06
 7.10000000000e+01, 1.40000000000e+07, 9.16518966289e+00, 9.97502561148e-06, 4.67299070913e+06
 7.10000000000e+01, 1.50000000000e+07, 9.76947292997e+00, 9.99222735993e-06, 4.67919008423e+06
 7.10000000000e+01, 1.60000000000e+07, 1.03674667608e+01, 1.00101753261e-05, 4.68544418046e+06
 7.10000000000e+01, 1.70000000000e+07, 1.09592524356e+01, 1.00288438198e-05, 4.69175171794e+06
 7.10000000000e+01, 1.80000000000e+07, 1.15449114661e+01, 1.00482079530e-05, 4.69811136909e+06
 7.10000000000e+01, 1.90000000000e+07, 1.21245255031e+01, 1.00682436230e-05, 4.70452177362e+06
 7.10000000000e+01, 2.00000000000e+07, 1.26981762388e+01, 1.00889274960e-05, 4.71098155119e+06
 7.80000000000e+01, 6.00000000000e+06, 4.01512924567e+00, 1.00033018927e-05, 4.72722471825e+06
 7.80000000000e+01, 7.00000000000e+06, 4.66018381783e+00, 1.00130197404e-05, 4.73306825181e+06
 7.80000000000e+01, 8.00000000000e+06, 5.29855401904e+00, 1.00236958036e-05, 4.73896868975e+06
 7.80000000000e+01, 9.00000000000e+06, 5.93031664260e+00, 1.00352988925e-05, 4.74492609221e+06
 7.80000000000e+01, 1.00000000000e+07, 6.55554828332e+00, 1.00477986826e-05, 4.75094024561e+06
 7.80000000000e+01, 1.10000000000e+07, 7.17432555232e+00, 1.00611657008e-05, 4.75701070590e+06
 7.80000000000e+01, 1.20000000000e+07, 7.78672521717e+00, 1.00753713128e-05, 4.76313683653e+06
 7.80000000000e+01, 1.30000000000e+07, 8.39282428249e+00, 1.00903877097e-05, 4.76931784167e+06
 7.80000000000e+01, 1.40000000000e+07, 8.99270002364e+00, 1.01061878950e-05, 4.77555279523e+06
 7.80000000000e+01, 1.50000000000e+07, 9.58642998407e+00, 1.01227456721e-05, 4.78184066609e+06
 7.80000000000e+01, 1.60000000000e+07, 1.01740919449e+01, 1.01400356297e-05, 4.78818034004e+06
 7.80000000000e+01, 1.70000000000e+07, 1.07557638739e+01, 1.01580331280e-05, 4.79457063872e+06
 7.80000000000e+01, 1.80000000000e+07, 1.13315238602e+01, 1.01767142837e-05, 4.80101033604e+06
 7.80000000000e+01, 1.90000000000e+07, 1.19014500392e+01, 1.01960559547e-05, 4.80749817218e+06
 7.80000000000e+01, 2.00000000000e+07, 1.24656205106e+01, 1.02160357238e-05, 4.81403286565e+06
 8.50000000000e+01, 6.00000000000e+06, 3.93846860230e+00, 1.01382697714e-05, 4.82900040127e+06
 8.50000000000e+01, 7.00000000000e+06, 4.57156867857e+00, 1.01475244181e-05, 4.83495399619e+06
 8.50000000000e+01, 8.00000000000e+06, 5.19821439449e+00, 1.01577143618e-05, 4.84096117463e+06
 8.50000000000e+01, 9.00000000000e+06, 5.81848051996e+00, 1.01688097406e-05, 4.84702202984e+06
 8.50000000000e+01, 1.00000000000e+07, 6.43244148426e+00, 1.01807815155e-05, 4.85313639784e+06
 8.50000000000e+01, 1.10000000000e+07, 7.04017158069e+00, 1.01936014563e-05, 4.85930389727e+06
 8.50000000000e+01, 1.20000000000e+07, 7.64174510404e+00, 1.02072421280e-05, 4.86552396449e+06
 8.50000000000e+01, 1.30000000000e+07, 8.23723643436e+00, 1.02216768780e-05, 4.87179588426e+06
 8.50000000000e+01, 1.40000000000e+07, 8.82672007791e+00, 1.02368798230e-05, 4.87811881671e+06
 8.50000000000e+01, 1.50000000000e+07, 9.41027067482e+00, 1.02528258360e-05, 4.88449182075e+06
 8.50000000000e+01, 1.60000000000e+07, 9.98796298099e+00, 1.02694905328e-05, 4.89091387456e+06
 8.50000000000e+01, 1.70000000000e+07, 1.05598718308e+01, 1.02868502580e-05, 4.89738389334e+06
 8.50000000000e+01, 1.80000000000e+07, 1.11260720857e+01, 1.03048820713e-05, 4.90390074464e+06
 8.50000000000e+01, 1.90000000000e+07, 1.16866385737e+01, 1.03235637321e-05, 4.91046326160e+06
 8.50000000000e+01, 2.00000000000e+07, 1.22416460217e+01, 1.03428736850e-05, 4.91707025429e+06
 9.20000000000e+01, 6.00000000000e+06, 3.86471238691e+00, 1.02725539440e-05, 4.93080732341e+06
 9.20000000000e+01, 7.00000000000e+06, 4.48630249230e+00, 1.02813687489e-05, 4.93686630233e+06
 9.20000000000e+01, 8.00000000000e+06, 5.10165678386e+00, 1.02910970431e-05, 4.94297574828e+06
 9.20000000000e+01, 9.00000000000e+06, 5.71084799349e+00, 1.03017102073e-05, 4.94913578374e+06
