# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min phase pressure = 6000000.0, max phase pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 9.50000000000e+01,   2.50000000000e+07, 3.25561791112e-03, 1.64957855013e-03
 9.50000000000e+01,   2.60000000000e+07, 3.15802738964e-03, 1.71321044960e-03
 9.55000000000e+01,   6.00000000000e+06, 1.12844110728e-02, 4.06537838280e-04
 9.55000000000e+01,   7.00000000000e+06, 9.79213412148e-03, 4.74117392035e-04
 9.55000000000e+01,   8.00000000000e+06, 8.67227871276e-03, 5.41455713135e-04
 9.55000000000e+01,   9.00000000000e+06, 7.80069606302e-03, 6.08558123485e-04
 9.55000000000e+01,   1.00000000000e+07, 7.10289668155e-03, 6.75429757254e-04
 9.55000000000e+01,   1.10000000000e+07, 6.53147803919e-03, 7.42075595553e-04
 9.55000000000e+01,   1.20000000000e+07, 6.05483839214e-03, 8.08500495497e-04
 9.55000000000e+01,   1.30000000000e+07, 5.65109960219e-03, 8.74709214392e-04
 9.55000000000e+01,   1.40000000000e+07, 5.30463445585e-03, 9.40706429792e-04
 9.55000000000e+01,   1.50000000000e+07, 5.00398305033e-03, 1.00649675604e-03
 9.55000000000e+01,   1.60000000000e+07, 4.74055053041e-03, 1.07208475779e-03
 9.55000000000e+01,   1.70000000000e+07, 4.50776444391e-03, 1.13747496106e-03
 9.55000000000e+01,   1.80000000000e+07, 4.30051297572e-03, 1.20267186208e-03
 9.55000000000e+01,   1.90000000000e+07, 4.11476057917e-03, 1.26767993437e-03
 9.55000000000e+01,   2.00000000000e+07, 3.94727891586e-03, 1.33250363441e-03
 9.55000000000e+01,   2.10000000000e+07, 3.79545466843e-03, 1.39714740592e-03
 9.55000000000e+01,   2.20000000000e+07, 3.65714976638e-03, 1.46161568331e-03
 9.55000000000e+01,   2.30000000000e+07, 3.53059807390e-03, 1.52591289408e-03
 9.55000000000e+01,   2.40000000000e+07, 3.41432790462e-03, 1.59004346075e-03
 9.55000000000e+01,   2.50000000000e+07, 3.30710313225e-03, 1.65401180214e-03
 9.55000000000e+01,   2.60000000000e+07, 3.20787789039e-03, 1.71782233422e-03
 9.60000000000e+01,   6.00000000000e+06, 1.14699506313e-02, 4.07560740654e-04
 9.60000000000e+01,   7.00000000000e+06, 9.95271171632e-03, 4.75324242251e-04
 9.60000000000e+01,   8.00000000000e+06, 8.81412347190e-03, 5.42846338603e-04
 9.60000000000e+01,   9.00000000000e+06, 7.92796073787e-03, 6.10132352550e-04
 9.60000000000e+01,   1.00000000000e+07, 7.21848819328e-03, 6.77187419400e-04
 9.60000000000e+01,   1.10000000000e+07, 6.63751050450e-03, 7.44016521542e-04
 9.60000000000e+01,   1.20000000000e+07, 6.15289738902e-03, 8.10624517426e-04
 9.60000000000e+01,   1.30000000000e+07, 5.74240479545e-03, 8.77016165706e-04
 9.60000000000e+01,   1.40000000000e+07, 5.39014414240e-03, 9.43196145265e-04
 9.60000000000e+01,   1.50000000000e+07, 5.08446385641e-03, 1.00916907174e-03
 9.60000000000e+01,   1.60000000000e+07, 4.81662532867e-03, 1.07493951102e-03
 9.60000000000e+01,   1.70000000000e+07, 4.57994617741e-03, 1.14051199032e-03
 9.60000000000e+01,   1.80000000000e+07, 4.36922908663e-03, 1.20589100695e-03
 9.60000000000e+01,   1.90000000000e+07, 4.18037100873e-03, 1.27108103557e-03
 9.60000000000e+01,   2.00000000000e+07, 4.01008960489e-03, 1.33608653364e-03
 9.60000000000e+01,   2.10000000000e+07, 3.85572784305e-03, 1.40091194593e-03
 9.60000000000e+01,   2.20000000000e+07, 3.71511188660e-03, 1.46556170774e-03
 9.60000000000e+01,   2.30000000000e+07, 3.58644605381e-03, 1.53004024760e-03
 9.60000000000e+01,   2.40000000000e+07, 3.46823403721e-03, 1.59435198895e-03
 9.60000000000e+01,   2.50000000000e+07, 3.35921902902e-03, 1.65850135155e-03
 9.60000000000e+01,   2.60000000000e+07, 3.25833766343e-03, 1.72249275237e-03
 9.65000000000e+01,   6.00000000000e+06, 1.16578737509e-02, 4.08596397446e-04
 9.65000000000e+01,   7.00000000000e+06, 1.01153456947e-02, 4.76546195847e-04
 9.65000000000e+01,   8.00000000000e+06, 8.95777909734e-03, 5.44254409204e-04
 9.65000000000e+01,   9.00000000000e+06, 8.05684520332e-03, 6.11726361452e-04
 9.65000000000e+01,   1.00000000000e+07, 7.33554652994e-03, 6.78967189208e-04
 9.65000000000e+01,   1.10000000000e+07, 6.74488454641e-03, 7.45981876290e-04
 9.65000000000e+01,   1.20000000000e+07, 6.25219350298e-03, 8.12775282632e-04
 9.65000000000e+01,   1.30000000000e+07, 5.83485863829e-03, 8.79352168391e-04
 9.65000000000e+01,   1.40000000000e+07, 5.47672657683e-03, 9.45717213929e-04
 9.65000000000e+01,   1.50000000000e+07, 5.16595156185e-03, 1.01187503631e-03
 9.65000000000e+01,   1.60000000000e+07, 4.89364934646e-03, 1.07783020283e-03
 9.65000000000e+01,   1.70000000000e+07, 4.65302617821e-03, 1.14358724200e-03
 9.65000000000e+01,   1.80000000000e+07, 4.43879811925e-03, 1.20915065243e-03
 9.65000000000e+01,   1.90000000000e+07, 4.24679373634e-03, 1.27452490996e-03
 9.65000000000e+01,   2.00000000000e+07, 4.07367598211e-03, 1.33971447324e-03
 9.65000000000e+01,   2.10000000000e+07, 3.91674353683e-03, 1.40472378818e-03
 9.65000000000e+01,   2.20000000000e+07, 3.77378632862e-03, 1.46955729122e-03
 9.65000000000e+01,   2.30000000000e+07, 3.64297874275e-03, 1.53421941191e-03
 9.65000000000e+01,   2.40000000000e+07, 3.52279952766e-03, 1.59871457484e-03
 9.65000000000e+01,   2.50000000000e+07, 3.41197092290e-03, 1.66304720086e-03
